customer_message,amazon_reply
"@AmazonHelp At time of order, del date was 10/29. Carrier is AMZL US.",@118090 I would like a member of our team look into this for you. Please fill out this form: https://t.co/dOqIHIw6g0 ^BA
"@AmazonHelp So much of the programming has changed on Prime. Blues Clues was free, now it's not. Still constantly having problems with my Fire Stick.","@118091 What kind of problems are you having with your Fire Stick, Mildred? ^VB"
"@AmazonHelp Continued buffering, loss of sound and it doesn't save where I leave off in programming.",@118091 Oh no! We'd like to look into this in real time with you. Please reach us via phone here: https://t.co/hApLpMlfHN ^AB
@115821 @AmazonHelp I'm so frustrated w/how things keep changing. Making it hard on POOR people!!! Free isn't free anymore.,"@118091 I'm so sorry to hear this! Without revealing any personal account information, will you provide us with more details? ^LH"
"@AmazonHelp ご親切にどうもありがとうございます。
買おうと思った商品が出品者の意向でキャンセルになり、同じ商品が出品されたまま１万円値段が上がっていました。不可解です。",@118163 Amazon以外の出品者の販売商品につきましては、各出品者が出品価格を自由に設定できます。しかしながら、当サイトでは、各出品者が商品を適切な価格で出品するべきであると認識しておりますため、貴重なご意見として頂戴いたします。SM
"@AmazonHelp お答え、どうもありがとうございました。
出品者を確認の上、これからも利用させて頂きます。",@118163 リプライありがとうございます。ご利用方法等でご不明な点がございましたらご遠慮なくご質問ください。今後ともどうぞよろしくお願いいたします。SK
@AmazonHelp すごっ、チェック早いですねー😸大分前に買った商品ですし、返品の手続きもめんどいんで今回は良いでーす🙋Amazonさん、どうもでーす😸,@118184 恐れ入ります。これからもhttps://t.co/st4oU5QbhPをどうぞよろしくお願いいたします。TN
"@AmazonHelp Si, es correos y pedí ke viniesen a x el pakete pero me pedian ke me kedase o toda una mañana o toda una tarde en casa pero y mi trabajo??",@118229 Lamento los inconvenientes. Recomiendo reportar lo ocurrido a nuestro Servicio al Cliente: https://t.co/OjvUxwnzPe ^CR
@AmazonHelp Es una devolucion,@118229 Comprendo. ¿Ya entraste en contacto con el transportista? ^CR
"@AmazonHelp enviei meu ebook para o premio Kindle às 22h de hoje. Porém, a ferramenta kdp fala q demora 72h pra publicar. Vou concorrer mesmo assim, certo?","@118230 Recomendo entrar em contato diretamente com o SAC da KDP, para eles conferirem o seu caso: https://t.co/iAtVDKIvAN ^CR"
@AmazonHelp Please do it fast,"@118231 Further, we wouldn't be able to offer any additional insight/ info in this regard. Appreciate your understanding. (3/3) ^SV"
@AmazonHelp Please do it fast,"@118231 As this is account related, our specialist team are the best ones to assist you.  (2/3) ^SV"
@AmazonHelp Please do it fast,"@118231 I get your concern, Hussain. As requested, please reply to the correspondence sent by our specialist team. (1/3) ^SV"
@AmazonHelp Still not got any mail please solve my problem right now.,"@118231 I'm afraid, we'll not be able to take any action on your account once it is put on hold. Request you to wait for the email. ^HD"
@AmazonHelp Not received any email,@118231 email from our account specialist team regarding the same. Request you to respond to that email for any assistance. 2/2 ^NK
@AmazonHelp Not received any email,"@118231 I get your concern, Hussain. All the account related issues are handled by our accounts team. You should've received an 1/2 ^NK"
@AmazonHelp Done that. Was told I would definitely have it by 9pm yesterday &amp; it's still not been delivered!!!!,"@118232 Just to confirm, what's the current tracking information listed for your order here: https://t.co/aaDyEz1VgE ^HC"
@AmazonHelp  don't promise a 1 day shipping with a GUARANTEED 8pm delivery when you can't keep it,@118233 I'm so sorry for the wait! What does tracking information say here: https://t.co/PyACxvY8Qo? ^MH
"@AmazonHelp Not in the mailbox, not on the porch, not in my house, not at the neighbors. This was a Prime order, late/lost again.",@118235 I'm sorry those steps didn't help! Who was the carrier for this order? You can check here: https://t.co/Y5jpI9gRhE ^BL
"@AmazonHelp Carrier: AMZL US, Tracking #: TBA516106123000","@118235 I'd like someone from my team to check into this. When you can, please drop your details here: https://t.co/jNvrqbIPwn ^BL"
"@amazonhelp My order 113-8951188-2020217 says ""Left in mailroom"" but my house doesn't have a mailroom and I've been home all day.",@118235 Oh no! Have you checked the mailbox? These steps may help locate the order: https://t.co/7jZ5OuoXoK. Keep us posted! ^BN
"@AmazonHelp お忙しい中、丁寧にありがとうございます。
申告窓口へ報告します。(｀_´)ゞ","@118236 お手数おかけしますが、よろしくお願いします。
最近、Amazonを騙るフィッシングが増えているようでございますので、ご注意くださいませ(*´︶`*) TY"
"@AmazonHelp いえいえ、Amazonさんこそとばっちりの迷惑かけられてお疲れ様ですm(__)m 

詐欺軍団はあの手この手で迷惑極まりないですねヽ(`Д´)ﾉﾌﾟﾝﾌﾟﾝ","@118236 あたたかいお言葉、ありがとうございます(*ﾉωﾉ)
色々な種類のフィッシングなどがあるようなので、ご注意いただき、何かご不明な点があれば、ご遠慮なくお声がけください！
今後も、Amazonをよろしくお願いします(o*。_。)oペコッ TY"
@AmazonHelp Lol that's not my real name. But basically yeah they won't just leave it at my front door. Tomorrow's the final attempt.,"@118238 Hi, not Hugh:) Who is the carrier for this delivery? You can find this information here: https://t.co/Y5jpI9gRhE  ^LM"
@AmazonHelp how do I inform your delivery drivers to just leave my package at my front door?,"@118238 Hey, Hugh! Are you having trouble receiving a recent order? ^LA"
@AmazonHelp AMZL US,@117955 Please provide your details here: https://t.co/zUIZ61Nac2 and my team will escalate to Amazon Logistics. ^EZ
@AmazonHelp My Halloween costume is a day late. Can you help?,"@118354 I'm so sorry we've let you down. Please reach us here: https://t.co/hApLpMlfHN, so we can explore options with you. ^LL"
@AmazonHelp Many times..Always got them saying well deliver it by deadline...I hate your service now,@118356 Sorry about the delay with the order. Please share your details here: https://t.co/GIJyeYqKE0 and we'll check this. ^KA
@AmazonHelp It's point less to actually fill this form.Since you always give me those replies with I'll personally follow up and stuff..,@118356 details through the link provided above so that we can look into the issue. 2/2 ^SH
@AmazonHelp It's point less to actually fill this form.Since you always give me those replies with I'll personally follow up and stuff..,@118356 Twitter is a social media platform we'll not be able to access any of your account/order details. Please share your 1/2 ^SH
"@AmazonHelp what the hell is going on?! Today's last day to deliver and still not shipped!!
Should I pledge that I won't ever order from u?!","@118356 I understand your concern, Nihal. Could you confirm if you've report this to our team using the link provided earlier? ^HD"
@AmazonHelp I already emailed y’all.,"@118498 I'm sorry about the link. For a faster response, contact us by phone here: https://t.co/jzvkhdlrK5 without signing in. ^BE"
@AmazonHelp Is that a 24 hr line,@118498 Yes. Our main customer service line is open 24 hours a day. ^LJ
@AmazonHelp Nah. Just answer my question please.,"@118501 From the Kindle app, go to More, tap on Settings, tap on Push notifications to enable or disable the notifications. ^SE"
@AmazonHelp How do I disable notifications indicated by the bell icon in upper left corner of iOS Kindle app?,"@118501 We'd like to help in real-time! When you have a free moment, please reach out to us here: https://t.co/hApLpMlfHN ^HM"
"@AmazonHelp Uff, I am continuously trying to tell you that I have already replied and a 24 hr tat for receiving call was given which​ U have failed on",@118505 If you've already replied to the email sent by our team. I'm sure our team will reach out to you soon with an update. ^VM
@AmazonHelp Rather than wasting time here can you please check with your team &amp; confirm whether they have responded. Use basic communication skills Sir,"@118505 We're currently working on your issue, we'll contact you soon. Keep an eye on your mailbox. ^ZH"
@AmazonHelp 24 hrs tat was given on written mail on 29th Oct to receive a call but no response since last 60 hrs.Hence we say quality of Amazon has gone,"@118505 If you had replied to the email, you must've received a correspondence from us, Darshan. Please check. ^HD"
"@AmazonHelp I have replied Sir, try and understand the gratitude of this event. You are exposing yourself in bad light","@118505 Apologies, thank you for replying to the email. We'll get back on this soon. Appreciate your patience. ^BS"
@AmazonHelp I have checked all my mails and had received your last mail on 29th stating you will receive an update in next 24 hrs. No revert received,"@118505 I do understand, however, please revert to the same email so that we can get this sorted. ^HN"
"@AmazonHelp I have replied to it many and still have not received any response, sending you a legal notification for closing this fraud business",@118505 Sorry for the trouble you've had. Kindly reply to the email you've received from our team &amp; we'll look into this further.^MM
"@AmazonHelp Nobody has called till now, why are you sending fake replies",@118505 Sorry for the stretch. Please reply to the email you've received from our Social media team and we'll get back. ^KA
@AmazonHelp Please reply with necessary resolution...,@118505 email ID. Kindly check it here: https://t.co/8DAc10S7ww. 2/2 ^RS
@AmazonHelp Please reply with necessary resolution...,"@118505 Our Specialist team will reach out to you, once they do, you'll be able to see the correspondence to your registered 1/2 ^RS"
@118506 @AmazonHelp Amazon has lost its credibility by buying cheap products from other portals like ebay and selling over their platform. Really cheap,@118505 you with an update at the earliest. (2/2)^AU
@118506 @AmazonHelp Amazon has lost its credibility by buying cheap products from other portals like ebay and selling over their platform. Really cheap,"@118505 I'm sorry for the stretch. As intimidated earlier, our specialist team is looking into this and will get back to (1/2)^AU"
@AmazonHelp I have replied dozen of times first check then reply. So silly,@118505 Thanks for writing back to us. Our specialist team will contact you with an update on your issue soon. Please wait. ^ZH
"@AmazonHelp Message from Rahul from Social Media team.
Upon checking your order I see that issue is being handled by Executive Customer Relations team.","@118505 As requested, please respond on the requested email and our specialist team will reach out to you. ^HK"
@AmazonHelp Can you please update over this quickly,"@118505 We've sent a correspondence to your registered email address, request you to check the same. ^SH"
@AmazonHelp I had replied almost as soon as you posted about the email and sent it. I want to know what action has been taken on my complaint.,"@118701 Sorry to know about the delivery issue. As you've confirmed sharing your details, you should've received an email from (1/2)^KA"
@AmazonHelp I had replied almost as soon as you posted about the email and sent it. I want to know what action has been taken on my complaint.,"@118701 our team. Please check and reply, we'll get back. You may check the email here: https://t.co/NTkrxpsbHJ (2/2) ^KA"
@AmazonHelp 6 different emails about the same order and none actually resolve the issue. You should be quite ashamed.,@118701 Please reply to the email received from our team. We will check and connect with you accordingly. ^RW
@AmazonHelp the last email i got was the transcript of the last chat that i requested.. you want me to reply to that??,@118701 Sorry about the order cancellation. Please reply to the email you've received from our Social media team and we'll get back. ^KA
@AmazonHelp For the third time. I HAVE NO RECENT E-MAIL FROM YOUR SOCIAL MEDIA TEAM.,"@118701 Sorry for the trouble, Manak. Please resubmit the details here: https://t.co/GIJyeYqKE0 and we'll have this checked. ^KA"
"@AmazonHelp Submitted, for the third time for the same issue.",@118701 Thanks for submitting the details. We've received your details and we'll reach out to you soon. ^GK
@AmazonHelp Sorry to have to say this. But you all are idiots. Once more email completely ignoring my query and giving template reply,@118701 That's unusual. Could you please revert to the email with further queries on this? I'll like to have a look into it. ^AB
@AmazonHelp Can someone please call me. I have responded to multiple emails and surveys now without my question being addressed. This is very annoying.,@118701 We're unable to arrange a callback for you over Twitter. Please make a request by responding to the email and we'll oblige. ^AB
@AmazonHelp asm mentioned before. You all are just idiots.,@118701 Thanks for replying. We'll get in touch with you soon. Appreciate your understanding. ^AK
@AmazonHelp I have. And I have spoken to customer care again on chat.,"@118701 If you've replied to the email sent by us, we'll check and get back to you with an update shortly. ^NR"
@AmazonHelp Thanks. I wish the same degree of concern were shown about my complaint though.,@118701 Could you please confirm if you have replied to our email? ^MK
@AmazonHelp May i just add that realising NO ACTION HAS BEEN TAKEN on my complaint is not much fun. Worst customer care EVER ! https://t.co/bHOHPNnZFA,"@118701 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. (2/2) ^SV"
@AmazonHelp May i just add that realising NO ACTION HAS BEEN TAKEN on my complaint is not much fun. Worst customer care EVER ! https://t.co/bHOHPNnZFA,"@118701 Apologies for the experience, Manak. Please reply to the email sent to your registered email. We'll check &amp; assist. (1/2) ^SV"
@AmazonHelp I have asked the customer care exec on phone to cancel the order. Don't want to waste any more of my time on this.,@118701 I'm sorry about the trouble Manak. Kindly reply to the email sent by our team for further assistance. ^GD
@AmazonHelp I am now cancelling this order because your delivery service just sucks despite prime membership. Switching to @118702 for future.,@118701 you've received from our team and we will get back to you with the latest update on your issue. (2/2)^SQ
@AmazonHelp I am now cancelling this order because your delivery service just sucks despite prime membership. Switching to @118702 for future.,@118701 Sorry for the unpleasant experience with the delivery of your order. Request you to write back to the email (1/2)^SQ
@AmazonHelp This has been the most frustrating and useless customer service ever.,"@118701 Sorry about the bad experience, Manak. I'll be sure to pass along your feedback internally. ^MS"
"@AmazonHelp After getting a confirmation that it will be delivered post 7 pm, i have got an email at 1:30 in the afternoon that i was not available !",@118701 We're following up on this. We'll check this and update you. ^SG
@AmazonHelp É o livro Os arquivos secretos do homem morcego. Simplesmente magnífico,@118707 Parece um livro interessante demais. Espero que curta muito da leitura dele! :D Abraço. ^CR
"@AmazonHelp yes spoke w/ customer service, still canceling my prime though since it does literally nothing apparently","@118708 We'd like to take a closer look. When you can, please provide us some more information here: https://t.co/ApyxSZALFH ^TN"
"@AmazonHelp Yes, butvthey lied. Told me carrier and said they would contact and call me back. The never called. I hsdvto make 2 additional calls",@118709 I'm sorry you've had to invest so much time in this! Were we able to help resolve the issue on the last call? ^TL
"Hi @AmazonHelp, I’ve purchased something via your app and it’s broken! How can I get it replaced?","@118710 Hi, Reece! I'm sorry about the broken item. You can check into options here: https://t.co/Ueduyt85xq ^BL"
@AmazonHelp Schnippig ist sie auch noch? Wird ja immer interessanter 😅,"@118798 Nein, ^TG ist schnippig. Alexa ist lieb und nett. Sie ist sehr gut! Und ich geh jetzt mal lieber in Deckung! 😏 ^UK"
@AmazonHelp when do you guys charge for the Xbox one X I preordered? It ships the 6th.,@118828 Thanks for reaching out to us! You will be charged for your order once it ships out. ^FJ
@AmazonHelp https://t.co/saX0kAZVCW!,@118829 Can you confirm the delivery date provided in your order confirmation email? It can be viewed here: https://t.co/1aMUiU8Rcg ^LA
@AmazonHelp here is the email. Conflicting answers from others in similar situations online. https://t.co/9zbCqLzokH,"@118832 (2/2) Alternately, if you'd like us to verify in real-time you can reach us here:  https://t.co/hApLpMlfHN ^EB"
@AmazonHelp here is the email. Conflicting answers from others in similar situations online. https://t.co/9zbCqLzokH,@118832 Thank you for bringing this to our attention! I understand the concern. You can report this here: https://t.co/1oz4X7rU5m (1/2)
@AmazonHelp you have wasted one month by bullsh****g me. now i am being told itvis out of warranty. issue is reported yo @79087 under warranty.,"@118918 Sorry for the disappointment. Kindly reply to the email you've received from our team, we'll check and get back. ^KA"
@AmazonHelp i have already done it. your reps dont even check any back data they just rape the customers.,"@118918 In this case, request you to wait and you shall receive an reply from our team soon. ^SH"
"@AmazonHelp same reply again and again. if the complaint is raised under warranty period and if @2005 wont solve it, how is it out of warranty?",@118918 insight on this issue. 2/2 ^SH
"@AmazonHelp same reply again and again. if the complaint is raised under warranty period and if @2005 wont solve it, how is it out of warranty?",@118918 The resolution provided over the email is the best we can offer. I'm sorry we'll not be able to provide any further 1/2 ^SH
"@AmazonHelp so after wasting more than 1.5 month, now you are telling me the product is out of warranty. i had gone to iball 1.5 months back .","@118918 Apologies for the experience, Vijay. Please reply to the email sent by our team. We'll help you with alternatives. ^SV"
@AmazonHelp done.,"@118918 Thank you for letting us know, we'll get back to you soon with an update. ^BS"
@AmazonHelp all emails already shared with earlier tweet. https://t.co/2sVFZ4iG9Q,@118918 Kindly share your details in the link given earlier and we'll be sure to help you in getting this issue resolved. ^ZH
@AmazonHelp yeah and i will get it after i murder service center owner. I would rather throw this product in dumpster and let wll india know abt u cheat,@118918 Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll contact you with an update on this. ^GS
"@AmazonHelp so basically you are stealing money from small customers. @115851 count your money, its growing. THIEVES.",@118918 Apologies for the inconvenience with policy constraint. We'll be able to assist you once service denial letter is received.^GS
"@AmazonHelp why are you removimg @79087 from your tweets? I have official email from @79087 they dont care , they did not sell this product.",@118918 I get your concern.We wouldn't be able to work on the issue until we receive a service denial letter from the manufacturer.^NS
@AmazonHelp I have visited multiple times. why would a sc change uts policy to meet ur unreasonable demands? this issue is ongoing since 1.5 months.,"@118918 If the manufacturer refuses to honor warranty on a device, you shall receive a service denial letter for the same. ^HK"
"@AmazonHelp @115851 @115821 If iball declines my request, I cannot threaten @79087 into providing one.",@118918 without a service denial letter. Kindly try visiting your nearest service center to report it and keep us posted. 2/2 ^AB
"@AmazonHelp @115851 @115821 If iball declines my request, I cannot threaten @79087 into providing one.","@118918 I certainly get that, however since the return window has already expired we won't be able to intervene in this 1/2 ^AB"
@AmazonHelp is there a way to know if the Amazon gift cards I send are being used?,@118920 You would only be able to confirm gift card balances on the account it is redeemed on. ^JP
@AmazonHelp Update ??? What your internal investigation repors tell you ??,"@118924 Sorry for this trouble. If the details were shared, you must've received a correspondence from us. Please check and reply. ^HD"
@AmazonHelp So what have you decided my dear @115850 @115821 ?? By this time you should've known the entire issue.I'm expecting a response from you,@118924 We have received your details. We are working on it and will get back to you with an update at the earliest. ^HR
"@AmazonHelp Worse part, customer support thought it was coming today too, which I reached out at 4:30 pm","@118925 I'm sorry for the inconvenience. When you reached out to us, what options or insight did we provide? ^GM"
@AmazonHelp I talked on the phone to someone who offered 10 percent off but that isn't on the account yet.  Still don't know delivery date.,@118925 Which carrier was assigned to deliver your package today? ^TN
@AmazonHelp It doesn't say.  It shows it hasn't shipped yet.,@118925 Did we ask you to wait a certain date before we could offer alternative options? ^EZ
@AmazonHelp Nothing on my order on your web site.,"@118925 Late order usually arrive the next business day. If your order hasn't arrived by 8:00 PM tomorrow, please let us know. ^LR"
"@AmazonHelp Please simply answer my question.  I am not an AmazonFresh customer, just a condominium unit owner inconvenienced by UR customers  &amp;trying 2 figure out how we can all accommodate one another.  Y R U making this so complicated? Direct message me with UR contact info.","@118951 We'll ask customers to leave their totes out for pickup. However, they shouldn't be left for 10 or more days awaiting pickup. For security, we're unable to DM personal details. Once we receive your information at the link we've referenced, we can help sort this. ^RA"
"@AmazonHelp Who's security?  UR asking 4 MY personal details.  Surely U have company phone #s that aren't ""personal.""  This is absurd. I'm TRYING 2 work w/U people. Y do U make it so hard?  May I be referred to a mgr who isn't afraid 2 speak w/an intelligent, reasonable woman 2 work out sols",@118951 We cannot accommodate this request via Twitter. Please send us your details using the link provided by FR. ^GR
"@AmazonHelp Don't be silly.  Read the Tweet!  I NEED 2 KNOW HOW U INSTRUCT CUSTOMERS.

What is the plan?  We've tenants who think they've the rite 2 store empty AF totes in the common area presumably awaiting PickUp 10+ days is 10 days longer that the small front hall common area can handle.",@118951 Please provide your information in the link FR provided and we'll have a team member look into this personally and reach out to you. I'm sorry for any inconvenience. ^HS
@AmazonHelp We have 2 work 2gether to accommodate UR new service.  I simply need 2 know how exactly U instruct AF customers re disposition of the large green insulated carriers.  Not a difficult question--need the written instrux.,@118951 I would like to have a team member look into getting the totes picked up for you! Please add your details here: https://t.co/MoFmdEXzbY so we can help out with this! Keep us updated on the status! ^FR
@AmazonHelp Today; 1st November. Or I wouldn't have ordered. I needed them to arrive at mums today so she can bring to me urgently in hospital tonight.,@119036 I can understand your frustration. Please reach out to us here to go over available options: https://t.co/ju0HEJTlrg ^CL
"Placed order today, said delivery would be Wed but just received email saying it'll be Thurs now? I'm a prime customer @AmazonHelp. Unhappy!",@119036 I'm so sorry for the frustration! What was the date given in the original confirmation e-mail: https://t.co/SsPOz2ryIS? ^DG
@AmazonHelp Yes. You definitely missed my delivery date. Twice. Also your call center staff seems to have no understanding of how mail delivery works.,@119041 I certainly understand your frustration! Who was the carrier for these orders? Please check here: https://t.co/Y5jpI9gRhE ^BE
@AmazonHelp @115821 consider leaving the delivery of packages to the experts at @115817 or @81. Obvious decline in service when it’s @115821 logistics.,@119041 We'd like to take a closer look to see what we can do. Please reach out with more information here: https://t.co/AdBZ9CgtFD ^DG
"@AmazonHelp ordered what was on the box for my sister’s wedding gift, that’s what came out of the box. What gives?! https://t.co/8jX9A0Ipcu",@119042 I'm sorry for the trouble! We'd like to review available options with you. Please reach out to us here:  https://t.co/hApLpMlfHN ^LJ
@AmazonHelp ありがとうございました,"@119213 リプライありがとうございます。
最近、Amazonを騙るフィッシングが増えているようでございますので、ご注意くださいませ(*´︶`*) TY"
@AmazonHelp no body inform me. once u return that parcel. please send the tracking id or parcel details. but after 10days i call amazon custamare care,"@119214 Thank you for sharing your details, Dhinesh. We'll check your concern and reach you soon. ^VG"
.@115850 @AmazonHelp thanks for no replies whatsoever on my complaint.an you please tell me what more should I do? @119351 @1015,@119350 Please fill in your details using the link: https://t.co/JzRdscmdH9 and I'll get in touch with you soon. ^AK (2/2)
.@115850 @AmazonHelp thanks for no replies whatsoever on my complaint.an you please tell me what more should I do? @119351 @1015,@119350 Apologies for the trouble with the delivery of the order. I'd like to take a closer look at this. ^AK (1/2)
@AmazonHelp Please don't help.u have very useless process of helping.if u want plz refund me atleast in time which is also now least expected,"@119352 Please share your details in the link provided above, we'll check the issue and assist you accordingly. (2/2) ^KA"
@AmazonHelp Please don't help.u have very useless process of helping.if u want plz refund me atleast in time which is also now least expected,@119352 Sorry to know about the delay with the order. It isn't possible for us to view your order/account via Twitter. (1/2) ^KA
@AmazonHelp Seriously!!! Ur customer service already told me cancel d order .. Amazon can't do anything to it..n till now it's showing expected on 25th👏,@119352 I'd like to help. Please write to us here: https://t.co/GIJyeYqKE0 and I'll reach out to you. ^SA
@AmazonHelp 408-9273159-6369903.replacement ordered from 24th Oct.no1 contact me.Really worst courier service from Amazon,"@119353 Please don’t provide your order details, we consider them as personal information. Our Twitter page is visible to public. ^VM"
@AmazonHelp 408-9273159-6369903.replacement ordered from 24th Oct.no1 contact me.Really worst courier service from Amazon,@119353 That's strange. Let us help you out here. Please drop your details here: https://t.co/TjZa6SQ9Hz (1/2) ^VM
@AmazonHelp 408-9273159-6369903.replacement ordered from 24th Oct.no1 contact me.Really worst courier service from Amazon,@119353 so that we can get in touch with you. (2/2) ^VM
@AmazonHelp Order details!!! https://t.co/Rapb0ePnLK,@119352 Please don’t provide your order details as we consider them to be personal info. Our Twitter page is visible to public. ^JC
@AmazonHelp Order details!!! https://t.co/Rapb0ePnLK,@119352 We'll not be able to check the details of your order via Twitter. Please fill in the same in the link provided. ^JC
@AmazonHelp I did...which said WE CANNOT DO ANYTHING...same as customer service...which triggered My reply...I am just asking basic question here,@119358 Sorry to know about that. Kindly reply to the email and we'll get in touch with an update. Appreciate your patience. ^AK
@AmazonHelp I have replied to the email... lets see if I can get positive and useful response atleast once after so much escalation @115851,@119358 Thank you for confirming. You should hear an update from us soon. Keep an eye on your mailbox. ^MP
@AmazonHelp @115851 @115850 @115821 so the social media escalation team is equally useless as the customer service team...hats off to incompetence,@119358 That's quite a comment. Could you let us know if you have received an email from our team here https://t.co/8DAc10S7ww? ^VM
@AmazonHelp I have inked in detail at the given URL...hope to see some useful action,@119358 Thanks for the heads up! We'll check this and get back with an update soon. ^YP
"@115850 @115821 @AmazonHelp I waited 15 days,sent 10 email,was assured tht case escalted,todays response WE CANNOT HELP,customer service?","@119358 We'd like to investigate this, please share your details here: https://t.co/cQVomR1pWz with detailed info. ^HA"
"Hi @AmazonHelp, when I placed my order I requested a VAT receipt either via email or post but I still haven’t had one?","@118710 I'm sorry for the inconvenience.  Please see here: https://t.co/3gp9Udo7j5, for more info on accessing your invoice. ^LM"
@AmazonHelp Hey so my package has not arrived yet. Can I get this sorted please,"@119403 While we can't access order or account details through social media, we'd still like to help! Please reach us directly via phone or chat so we can investigate: https://t.co/JzP7hlA23B ^CS"
@AmazonHelp You have and it’s been pushed (again) to Friday or possibly Saturday or god forbid Monday. Was told it would be diverted by 8pm tonight.,@119403 Please let us know if doesn't arrive by Friday! We'd like to help! ^ZW
"#SuperValueDayQuiz

Where is the result of super value day quiz conducted on Oct 1 and 2 ? @AmazonHelp",@119446 The results will be announced soon. Kindly stay tuned for updates. ^AK
"@AmazonHelp ""Refused shipment - on the way back.""","@119447 Oh my! Just to clarify, can you tell us who the carrier of this order is? ^AL"
"@AmazonHelp It was Amazon Logistics.  But the device never made it to them and ""guaranteed Oct 31"" slipped to ""expected Nov 1-2"".",@119447 We'd like to look further into this. Please click the link and fill out the secure form:https://t.co/pM8TpjfEq6 ^EM
@AmazonHelp Yes i have received reference number,@119451 Please share your detail here: https://t.co/GIJyeYqKE0 and I'll be glad to help you with an update about the refund. ^KA
"@AmazonHelp Details sent, haven't received any communication from your side",@119451 You should have received a correspondence from our social media team. Kindly check here: https://t.co/8DAc10S7ww and reply. ^MN
"@AmazonHelp Order no - 403-7559101-5645129 
Return reference - 710398288491
Article name - puma shoes","@119451 number. Also, please don't provide order details, we consider it to be personal info. Our page is visible to the public.(2/2)^SF"
"@AmazonHelp Order no - 403-7559101-5645129 
Return reference - 710398288491
Article name - puma shoes",@119451 This being a social platform we can not access your account info. Please confirm if you've received the refund reference(1/2)^SF
@AmazonHelp How many times will the pick-up be rescheduled? https://t.co/oQuGBF84QS,"@119452 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^AK 3/3"
@AmazonHelp How many times will the pick-up be rescheduled? https://t.co/oQuGBF84QS,@119452 Please fill in your details using the link: https://t.co/JzRdscmdH9 and I'll get in touch with you soon. ^AK (2/3)
@AmazonHelp How many times will the pick-up be rescheduled? https://t.co/oQuGBF84QS,@119452 Apologies for the trouble with the pick up of the order. I'd like to take a closer look at this. ^AK (1/3)
@AmazonHelp Hi. This is where I'm stuck. When will you initiate the pick up? https://t.co/bVTocnrC1k,@119452 Sorry for the delay in pickup. Kindly contact us here: https://t.co/rS49hgaADF and we'll get the pick up done. ^SY
Hey @115850 @AmazonHelp I need an update on my refund! Can you help?,@119452 You may track your refunds using the link: https://t.co/LjYILTJREp. Please keep us posted. ^GS
@AmazonHelp You have all my details. Please expedite the process,@119452 Thanks for the update. If you've filled in your details our teams will reach out to you soon. ^VM
@AmazonHelp have a query regarding cash back during 14-17 October sale. Email/DM ?,@119454 We'd like to help you with the cash back. Kindly get in touch with our support team here: https://t.co/rS49hgaADF ^AK
@AmazonHelp Where do I send it to?,"@119531 The link to the item can be tweeted to us here, or reviewed here: https://t.co/hApLpMlfHN ^QJ"
Thanks @AmazonHelp for solving my issue . But after 8 day it's really long time you took to solve . But #thanks,@119532 Thanks for keeping us posted. I'll pass along your comments to our team and we'll work on this. ^GK
@AmazonHelp My order is due to arrive on Friday,@119534 Orders can ship at any time; once the order has been processed it will be assigned a tracking number. ^LR
@AmazonHelp Ahhh okay makes sense :) thank you! I hope my package comes Friday 🙌,@119534 Please keep us posted as we want to make sure your order arrives!  ^AG
@AmazonHelp Ur customer care didnt provide me a correct answer,@119535 I'm sorry about the experience. Kindly share your details here: https://t.co/beaaDm0muc and we'll check. ^GK
@AmazonHelp Bought a washing machine from Amazon and had a nightmare getting it installed. Neither you guys or the brand was helpful.,@119536 here: https://t.co/beaaDm0muc and I’ll contact you soon. 2/2 ^AH
@AmazonHelp Bought a washing machine from Amazon and had a nightmare getting it installed. Neither you guys or the brand was helpful.,"@119536 I'm sorry for the unpleasant experience, I'd like to look into this closely. Kindly drop in your details 1/2 ^AH"
@AmazonHelp And there was no indication that they had re-attempted delivery,@119617 Who is the courier shown on the tracking info? Have you contacted the courier? ^LJ
@AmazonHelp Intelcom Express. I couldn't contact them last night since I got home after their operating hours. Sent them an email this morning,"@119617 Please let us know if you do not receive your order, or an update, today so we may contact the carrier on your behalf. ^WM"
@AmazonHelp somehow Siri can turn off my lights but Alexa is incapable. #pleasefixit #buggedupdate https://t.co/wLNncaWcX1,"@119618 If Alexa doesn't discover your smart home device, here are some solutions to try: https://t.co/4WOgoyFtgG Hope this helps! ^NN"
@AmazonHelp Not impressed with Amazon Logistics. Computer parts delayed a week and a refund is the only option? Really disappointed.,@119619 I'm sorry it's been delayed. We'd like to look into this. Please send details about this order here: https://t.co/Wze1ktETWY. ^LH
@AmazonHelp Yes you have missed the deadline which was set at the time of purchase. After missing that deadline you have given me a new deadline now,@119620 so that we can get in touch with you. (2/2) ^VM
@AmazonHelp Yes you have missed the deadline which was set at the time of purchase. After missing that deadline you have given me a new deadline now,@119620 I'm sorry to hear that. Let us investigate this further. Please drop your details here: https://t.co/XjZU0Q7U2F (1/2) ^VM
@AmazonHelp Pls call me on 9820255387,"@119620 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^RW"
@AmazonHelp Pls call me on 9820255387,@119620 We cannot check your order details here. Kindly fill in the form for further assistance on it. ^RW
