customer_message,amazon_reply,intent,expected_action,reason
@AmazonHelp Ur customer care is disconnecting my call by saying that we would not be able to give you any further I sight over this issue.Please explain,@118505 The resolution provided by our specialist team over the email is the best we can offer. I'm sorry we'll not 1/2 ^SH,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp All of them,@116611 Hmm.... Let's take a closer look into what's going on here: https://t.co/jzvkhdlrK5 ^ML,GENERAL_SUPPORT,ESCALATE,The message contains too little issue detail for safe automatic handling.
@AmazonHelp I have inked in detail at the given URL...hope to see some useful action,@119358 Thanks for the heads up! We'll check this and get back with an update soon. ^YP,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp No any solution provide from your side and I am unable to contact with Amazon care because our call is blocked by Amazon..,@120469 Could you please confirm if you have replied to the email sent by us. ^VH,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
"@AmazonHelp Replied asking me if I wanted to join love film, that I could keep dvds I have, that film clubs runs for schools(run it)&amp;that it’s stopping","@120772 Hi Tim, please fill out this secure form from a non-mobile device with as much info as possible: https://t.co/tkLCr7DNil ^TS",GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
So sad @AmazonHelp @115830 ruined his FIRST Halloween by failing to deliver his tiny costume 2 days running #whypayprime? #amazon #prime,@116830 Oh no! Did we miss the expected delivery date from your confirmation e-mail here: https://t.co/OmqrPtDrzj Please let us know. ^KL,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
"@AmazonHelp Thank you for doing the right thing and solving the problem, though i believe we could have done it on Day1 of issue, but thank you eith way",@120769 Thanks for keeping us posted. I'll be sure to forward your comments to our team internally. ^GK,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp Till now also I don't received any update from your end,@119796 I see that we've sent you a correspondence. Kindly check the same here: https://t.co/ubzNHWZvL2 (1/2),DELIVERY_ISSUE,AUTO_HANDLE,"The message concerns delivery status, a carrier, or a missing/late package. No explicit high-risk signal was found."
@AmazonHelp Where you send correspondence ?? I did not get any correspondence.,"@120227 It has been sent to your registered email address, please check and revert. ^HN",GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp Have you gone deeper into the issue or it's just an automated instant reply over Twitter?? @115851,@120777 Kindly reply to the email received from us and we shall get back to you on this. ^SH,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
"Ach schau an. Meine Bestellung war unzustellbar... @AmazonHelp, was ist da denn passiert? Bekomme ich mein Geld nun wieder?",@116933 Bei unzustellbaren Sendungen wird gewöhnlich nach Bearbeitung der Retoure eine Erstattung veranlasst. Den Grund können wir von hier aus leider nicht einsehen. Bei Fragen hierzu kannst du dich gerne per E-mail/Telefon an unseren Kundenservice wenden. Schönen Abend ^MH,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
"@AmazonHelp I am getting any mails nor any calls from u.
If not able to solve let me know...I ll uninstall Amazon n share my feedback with others too",@119703 We have emailed you here: https://t.co/DTSNmGldJf Kindly check &amp; reply to it for further assistance.^SY,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp 2 days and zero outcome,"@120779 Just to confirm, have you reported this to our support team as requested earlier? If not kindly let them know about it. ^AB",GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp I need a proper compensation and full refund of my order. Contact me on 9140560819 for any other detail.,"@120228 Please don't provide your details, we consider it to be personal information. Our page is visible to the public. 2/2^SC",RETURN_REFUND,AUTO_HANDLE,"The message concerns returning an item, a refund, or a post-purchase resolution. No explicit high-risk signal was found."
@AmazonHelp #pathetic customer service. New low in e-commerce. Trying to raise a return request 5 times. #Fail,@119902 Sorry for the trouble while raising a return request. May I know if you have been asked to self return the item? ^SH,RETURN_REFUND,AUTO_HANDLE,"The message concerns returning an item, a refund, or a post-purchase resolution. No explicit high-risk signal was found."
"@AmazonHelp @7108 Found error on website, one click on $4.85 makes it $285 on card select screen https://t.co/zrzUwV6Cl1","@119903 to the payment page that you have in your 2nd screenshot? We want to help in the best way possible, so pls let us know! ^KN 2/2",PRODUCT_TECHNICAL,AUTO_HANDLE,"The message asks about product, app, website, or device behavior. No explicit high-risk signal was found."
@AmazonHelp こんにちは。先日Amazonギフト券チャージのやり方を教えていただいた者です。チャージが終了しアカウントに登録されたのですが、買い物でお支払い方法のコード入力とはどこに書かれてあるのですか？「次に進む」が表示されず買い物できません。どうすれば良いですか？,@119622 こんにちは、お問い合わせありがとうございます。ギフト券をチャージ済みの場合、コード入力は不要です。次に進めないとのことであれば、金額が不足している可能性がございます。出品者発送ですと別途送料が発生したり、お急ぎ便の代金が加算されているということはございませんか。ET,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
"@AmazonHelp I made a same day ship mid Monday and it said it would deliver that day. It didn’t. Today it still says out for delivery, still no show.","@116317 I'm so sorry for the late delivery, Kimmie! Our carriers can deliver until 8 PM, please keep us updated on its arrival. ^BE",DELIVERY_ISSUE,AUTO_HANDLE,"The message concerns delivery status, a carrier, or a missing/late package. No explicit high-risk signal was found."
@AmazonHelp What support team are you talking about ? I called twice n they make it sound like they will graciously refund my money. But then nothing,"@117789 Sorry for this ordeal, Benish. Please share your details here: https://t.co/GIJyeYqKE0 and I'll get in touch with you. ^HD",PAYMENT_BILLING,AUTO_HANDLE,"The message concerns payment, billing, a charge, price, or money. No explicit high-risk signal was found."
"@AmazonHelp how to stop my prime membership, since i was scammed and you do nothing to me, i need to cancel my membership.",@120322 Which Amazon website did this happen on? ^KM,PAYMENT_BILLING,ESCALATE,"The message concerns payment, billing, a charge, price, or money. Possible fraud, counterfeit, or unauthorized activity requires human review."
@AmazonHelp That I do daily. Can't the request be prioritized?,"@120467 As informed earlier, we will forward your request. However, I request you to wait for it. (2/2)^HR",GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp はい^ ^すぐに架空請求だと分かりました。ありがとうございます。,@120094 とんでもないことでございます。今後も引き続きお気を付けください。TN,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
"@AmazonHelp 1. Does it work without being plugged in to power? 
2. If yes, what is battery life? 
3. Can it be used for receiving and making calls?","@120773 It doesn't have a built in battery, so plugging in to an electric socket is a must. You can use the ""Drop in"" feature 1/3 ^RW",ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp Thats why i writing here that rest of the people shd know about your services and how you r making fool on name of prime,@119791 further assistance. Appreciate your understanding. (2/2) ^KA,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp I have sent an email as the same thing happened to me today. The delivery attempt was never made.,"@121152 For the fastest resolution, please reach us directly by choosing ""phone"" or ""chat"" when using RS's link, above. ^JR",ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp Hi can you tell me how I make a complaint about your delivery drivers?,@121056 Hi Lee. You can get in touch via this link: https://t.co/JzP7hlA23B. We'll be happy to help. ^DC,DELIVERY_ISSUE,AUTO_HANDLE,"The message concerns delivery status, a carrier, or a missing/late package. No explicit high-risk signal was found."
@AmazonHelp I had replied almost as soon as you posted about the email and sent it. I want to know what action has been taken on my complaint.,"@118701 our team. Please check and reply, we'll get back. You may check the email here: https://t.co/NTkrxpsbHJ (2/2) ^KA",ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
"@AmazonHelp 24 to 48 hours 2resolve.But WTH! First,Amazon says 'Delivered' then,says 'Item could not be delivered,as there was no one 2accept delivery'","@120030 The details are already escalated to the team and we are working on it. Further, we've (1/2) ^GK",DELIVERY_ISSUE,AUTO_HANDLE,"The message concerns delivery status, a carrier, or a missing/late package. No explicit high-risk signal was found."
"@AmazonHelp Fulfilled by Amazon. It’s quite disturbing you’re selling counterfeit items, and can’t be trusted.","@116091 We'd like to look into this with you in real time, Bry. When you can, please ring or chat in with us: https://t.co/JzP7hlA23B ^BL",PRODUCT_QUALITY,ESCALATE,"The message concerns product condition, authenticity, fit, or quality. Possible fraud, counterfeit, or unauthorized activity requires human review."
@AmazonHelp Deluxe edition on September 16th. It definitely had the pre orders on the profile because that’s why I ordered. Also why I paid for Prime..,@116088 Could you link us to the page of the item on our website? This will allow us to take a closer look at all options. ^VB,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp I have replied dozen of times first check then reply. So silly,@118505 Thanks for writing back to us. Our specialist team will contact you with an update on your issue soon. Please wait. ^ZH,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp Trust me it useless to narrate my experience in the app feedback...I want a resolution... And commitment that this won't be repeated and a compensation,@120701 -are not available in amazon. (2/2)^GU,PRODUCT_TECHNICAL,AUTO_HANDLE,"The message asks about product, app, website, or device behavior. No explicit high-risk signal was found."
"@AmazonHelp Called USPS for delivery info. Estimated hold time for the next representative is FIFTY MINUTES. As YOUR customer, I shouldn't be doing this",@120034 We're able to contact the carrier on your behalf using the link ^LH provided above. ^KP,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp It's point less to actually fill this form.Since you always give me those replies with I'll personally follow up and stuff..,@118356 details through the link provided above so that we can look into the issue. 2/2 ^SH,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
"@AmazonHelp Danke für die schnelle Antwort... ja, ich werde mal nachfragen, was da schiefgelaufen sein soll. Ihnen auch einen schönen Abend noch.",@116933 Danke :-),GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
"@AmazonHelp I need to change the language of my account to be able to get support, which I don't have the time to do, there's any other way to contact?",@116617 Changing language is just a simple click: https://t.co/CXXk5VglR4 You can reach our support here: https://t.co/aAfOxTGpe1 ^UK,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp here is the email. Conflicting answers from others in similar situations online. https://t.co/9zbCqLzokH,"@118832 (2/2) Alternately, if you'd like us to verify in real-time you can reach us here:  https://t.co/hApLpMlfHN ^EB",ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
"@AmazonHelp no luck it keeps asking for code witch is not sending to my phone can Amazon eliminate the 2 step method, this is so frustrating","@116849 I'm so sorry for the frustration, Luis. We should absolutely be able to help! Please contact us using the link TN provided. ^SD",PRODUCT_TECHNICAL,AUTO_HANDLE,"The message asks about product, app, website, or device behavior. No explicit high-risk signal was found."
@AmazonHelp 408-9273159-6369903.replacement ordered from 24th Oct.no1 contact me.Really worst courier service from Amazon,@119353 That's strange. Let us help you out here. Please drop your details here: https://t.co/TjZa6SQ9Hz (1/2) ^VM,DELIVERY_ISSUE,AUTO_HANDLE,"The message concerns delivery status, a carrier, or a missing/late package. No explicit high-risk signal was found."
@AmazonHelp Still I didn't received any update from your end. I have to book order today,@119796 You must have received a response here: https://t.co/cx0UNsZXpj. Please let us know if you do not see the email here. ^KS,DELIVERY_ISSUE,AUTO_HANDLE,"The message concerns delivery status, a carrier, or a missing/late package. No explicit high-risk signal was found."
@AmazonHelp Still not got any mail please solve my problem right now.,"@118231 I'm afraid, we'll not be able to take any action on your account once it is put on hold. Request you to wait for the email. ^HD",ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
"@AmazonHelp Si, es correos y pedí ke viniesen a x el pakete pero me pedian ke me kedase o toda una mañana o toda una tarde en casa pero y mi trabajo??",@118229 Lamento los inconvenientes. Recomiendo reportar lo ocurrido a nuestro Servicio al Cliente: https://t.co/OjvUxwnzPe ^CR,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
"@AmazonHelp USPS is the carrier. They are usually here 10 am-12 pm, so I don't know what's going on.",@120034 That's really weird! Have you contacted them to see if they could provide any insight? ^AJ,DELIVERY_ISSUE,AUTO_HANDLE,"The message concerns delivery status, a carrier, or a missing/late package. No explicit high-risk signal was found."
"@AmazonHelp That's what m doing n u making me believe more that refund policy by Amazon in India is really poor..!
Ur seller is even not taking calls nw",@119700 We'll get back to you as soon as we have an update from our team. (2/2)^SF,RETURN_REFUND,AUTO_HANDLE,"The message concerns returning an item, a refund, or a post-purchase resolution. No explicit high-risk signal was found."
@115821 @AmazonHelp why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,@115831 I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: https://t.co/JzP7hlA23B ^SH,DELIVERY_ISSUE,AUTO_HANDLE,"The message concerns delivery status, a carrier, or a missing/late package. No explicit high-risk signal was found."
"@AmazonHelp yes i did,but amazonuk is not doing the refund process.if they do it .i will get the money","@116321 I would like someone from our team to take a look into this for you, Sanu. Please reach out here: https://t.co/QtC7bueYoR ^LA",PAYMENT_BILLING,AUTO_HANDLE,"The message concerns payment, billing, a charge, price, or money. No explicit high-risk signal was found."
@AmazonHelp Please find attached screenshot https://t.co/uivHzbY3JE,@119796 I'm sorry for the trouble. Please submit your details here: https://t.co/GIJyeYqKE0 and we'll check right away. ^RW,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp Order details!!! https://t.co/Rapb0ePnLK,@119352 Please don’t provide your order details as we consider them to be personal info. Our Twitter page is visible to public. ^JC,ORDER_ISSUE,AUTO_HANDLE,"The message concerns an order, cancellation, purchase, or seller issue. No explicit high-risk signal was found."
"@AmazonHelp Submitted, for the third time for the same issue.",@118701 Thanks for submitting the details. We've received your details and we'll reach out to you soon. ^GK,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp 親切にどうもありがとうございます(;_;)(;_;),"@116918 突然のリプライで、驚かせてしまってすみませんでした (´・ω・`) 
また、お困りごとやご不明点などあれば、ご遠慮なくお声がけくださいませ。
引き続き、Amazonをよろしくお願いします(o*。_。)oペコッ",GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp When will be the earliest?? 1 more month?,"@120227 I get your disappointment. As informed earlier, we've escalated the issue and will get back to you with an update soon. ^MO",GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
"@AmazonHelp hahahaha, you sent me this yesterday. If my problem is, I can't login, how do you expect me to complete this page I have to log in to?",@120919 Is there any option to skip login at the bottom of the login? ^PK,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
"@AmazonHelp And he left it on the doorstep anyway, after creating merry hell",@120614 Please reach out to us directly here: https://t.co/JzP7hlA23B and we can look into this. ^PK,DELIVERY_ISSUE,AUTO_HANDLE,"The message concerns delivery status, a carrier, or a missing/late package. No explicit high-risk signal was found."
@AmazonHelp If nothing happens then I will put on FB also,@120032 here: https://t.co/beaaDm0muc and we'll reach out to you. (2/2) ^GK,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund? https://t.co/SeoQUsA0VA,@116082 Canceling your Prime membership can be done here:https://t.co/MlOxxuNX7N. You'll be shown your estimated refund there. ^SK,PAYMENT_BILLING,AUTO_HANDLE,"The message concerns payment, billing, a charge, price, or money. No explicit high-risk signal was found."
@AmazonHelp USAs Amazon. Com,@116849 Please reach out to us directly here: https://t.co/jzvkhdlrK5 We'd love to help get you logged in! ^TN,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
.@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk,@115835 I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: https://t.co/JzP7hlA23B ^SY,DELIVERY_ISSUE,AUTO_HANDLE,"The message concerns delivery status, a carrier, or a missing/late package. No explicit high-risk signal was found."
@AmazonHelp Lol that's not my real name. But basically yeah they won't just leave it at my front door. Tomorrow's the final attempt.,"@118238 Hi, not Hugh:) Who is the carrier for this delivery? You can find this information here: https://t.co/Y5jpI9gRhE  ^LM",GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp Is there a human working there or robots cant u see i have replied twice guyzzz pls call on 8424869098 #poorcustomerservice #fraud #complain,@119701 Please don’t provide your details as we consider them to be personal information. Our Twitter page is visible to public. ^YP,PAYMENT_BILLING,ESCALATE,"The message concerns payment, billing, a charge, price, or money. Possible fraud, counterfeit, or unauthorized activity requires human review."
@AmazonHelp @AmazonHelp @115850 @1402 @120781 what is the update Amazon team??,@120780 We've sent you an email correspondence to your registered account. Please refer and revert on the same. ^HK,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp Do u hav brain the product is taking more then a week to reach me and i am #primememeber and can u read i need a #refund now i dnt #trust,@119701 details here: https://t.co/GIJyeYqKE0 and I'll get back to you. (3/3) ^KA,RETURN_REFUND,AUTO_HANDLE,"The message concerns returning an item, a refund, or a post-purchase resolution. No explicit high-risk signal was found."
I go to watch #thebay and episode 7 &amp; 8 aren’t there??? 😭 @117090 @AmazonHelp,"@117089 I'm sorry, I see we do have both episodes available. Can you let us know which device you are streaming this on? ^EB",GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
"@AmazonHelp , as @115830 haven’t replied, could you? https://t.co/HZhcbSKhWv","@120614 Hi, apologies. Carriers should not follow handwritten delivery notes. You can set them on your acc: https://t.co/aLmiGBTlSk. ^JJ",GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp How many time I send detail.??,@120469 Sorry for the confusion. Please reply to the email sent by our team earlier &amp; we'll update you on this. ^RS,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
"@AmazonHelp My package just got here. All good, thank you!","@116087 Thank you for keeping us posted, Rachael! ^BA",DELIVERY_ISSUE,AUTO_HANDLE,"The message concerns delivery status, a carrier, or a missing/late package. No explicit high-risk signal was found."
@AmazonHelp,"@120259 Hey, what's up? ^AS",GENERAL_SUPPORT,ESCALATE,The message contains too little issue detail for safe automatic handling.
@AmazonHelp I did not get any kindly resend.,@120227 please share your details here: https://t.co/GIJyeYqKE0 and we'll check this for you. 2/2^HN,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
"@AmazonHelp Except that isn't the case.
1 Why not?
2 Why are you sending people to The Works?
3 Why is that book in Home &amp; KItchen?
4 What do you suggest I say to Bonnier when I call their switchboard as you suggest, to find out what Amazon is up to?
5 What is the point of having Prime?","@120918 Hi, you will need to speak with the publishers about this,as ^BM said the latest info we have is reflected on the website^AS.",ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp problem not resolved yet...high time now,@120264 Sorry to know about the delay in resolving your query. I'd like to take a closer look at this. ^AK (1/2),GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp @AmazonHelp The link you sent me this page opens and in its settings I can't find where to change country to India. https://t.co/IXCPlZlzHs,@119629 Please connect with our support team here: https://t.co/2t6DQoUmNZ for further assistance on it. ^RW,PRODUCT_TECHNICAL,AUTO_HANDLE,"The message asks about product, app, website, or device behavior. No explicit high-risk signal was found."
"@AmazonHelp already tried help by mail and still problem persist, please close my account and don't want to be a customer anymore https://t.co/m2g5tP26fX","@116849 I'm sorry. We can't access your account via Twitter. For assistance, please reach us here: https://t.co/jzvkhdlrK5 ^WT",ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp You people always escalated issue and for another 24 hours.kindly do something substantial.still issue is unresolved. such a poor service.,"@120227 For further assistance, reply to the email that you received from us. (2/2)^AU",GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp Would like to thankyou for ur efforts..amount credited back to my account today.!!,@119700 You're most welcome. Glad to know that refund has been credited. Have a great day ahead! ^AR,PAYMENT_BILLING,AUTO_HANDLE,"The message concerns payment, billing, a charge, price, or money. No explicit high-risk signal was found."
@AmazonHelp  https://t.co/LzRfyE5m3q,@120177 Thanks for the information! Who is the carrier of the package? You can find that info here: https://t.co/Y5jpI9gRhE ^AD,GENERAL_SUPPORT,ESCALATE,The message contains too little issue detail for safe automatic handling.
@AmazonHelp I already replied on mails..no more mails...I have seen the way Amazon handled the situation...call me &amp; clear can it done or not,"@119703 sent by our team and request for a phone call. Once you do so, our team will get back to you through phone soon. 2/2 ^RS",ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
"@AmazonHelp Tried that the first time, customer service operators can’t seem to read an email",@120772 My apologies Tim. What happened when you tried contacting by phone/chat? ^DC,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp The problem is with the router that i ordered. Which is dispatched back to your fulfillment centre! Without my permission! Pathetic service!,@120613 Please provide your details here: https://t.co/beaaDm0muc &amp; we'll reach out to you again &amp; assist you with your concern.^SF,PRODUCT_TECHNICAL,AUTO_HANDLE,"The message asks about product, app, website, or device behavior. No explicit high-risk signal was found."
@AmazonHelp @115850 I have bought a product and now it's size is not matching I want to return it and also requested return process.,@119904 You may refer here: https://t.co/M27c4qF86m for details on refund for return shipping charges. Hope this helps! 3/3 ^AB,RETURN_REFUND,AUTO_HANDLE,"The message concerns returning an item, a refund, or a post-purchase resolution. No explicit high-risk signal was found."
@AmazonHelp Hahaha. Reported multiple times...even spoke to ur so called customer service.. no help...,@120092 I get your disappointment. I’d like to help you; please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon. ^SC,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp Feedback? Are you kidding me? Where is my money and the package...bloddy idiots I am the prime customer and I want the shipment to be delivered rite now...I don't care about ur internal review...get me ur escalation point of contact to call me,@120701 We understand your concern. We’d like to help you; please fill this form: https://t.co/beaaDm0muc and we’ll contact you soon.^PJ,PAYMENT_BILLING,AUTO_HANDLE,"The message concerns payment, billing, a charge, price, or money. No explicit high-risk signal was found."
@AmazonHelp Amazon its a complete fraud now u are saying u will ship till 7th please for god sake #help #cancelorder #refund #fraud #poorcustomerservice https://t.co/riuEM7g6om,@119701 Could you please let us know if you had received any email stating the package was  going to be shipped by 7th ? ^KS,PAYMENT_BILLING,ESCALATE,"The message concerns payment, billing, a charge, price, or money. Possible fraud, counterfeit, or unauthorized activity requires human review."
"@AmazonHelp If such is the case I regret my order with Amazon. I was thinking more of a better solution such as delivering product again and then collecting the first one. Since I need the book for study, I can not waste time returning it. I can only regret about my choice about Amazon.",@120684 Kindly refer: https://t.co/wM1yebus27 for more information on the return policies. (2/2)^AU,RETURN_REFUND,AUTO_HANDLE,"The message concerns returning an item, a refund, or a post-purchase resolution. No explicit high-risk signal was found."
"@AmazonHelp J'ai voulu annuler ma commande, mais Amazon dit que c'est soit disant trop tard... Vraiment barbant chez Amazon ! Que des problèmes!",@120849 Ou bien le retourner contre remboursement si l'article est expédié par Amazon. 2/2 ^FA,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@115850 @AmazonHelp 'Handed over directly to Customer' when I'd left this place at 6:00 pm &amp; never returned for the night. Trust @115850 to do the impossible,"@120030 I'm sorry, this was never our intention. Did you report this to our customer service team here: https://t.co/vlvfJr4nN9. ^SI",RETURN_REFUND,AUTO_HANDLE,"The message concerns returning an item, a refund, or a post-purchase resolution. No explicit high-risk signal was found."
"@AmazonHelp so after wasting more than 1.5 month, now you are telling me the product is out of warranty. i had gone to iball 1.5 months back .","@118918 Apologies for the experience, Vijay. Please reply to the email sent by our team. We'll help you with alternatives. ^SV",RETURN_REFUND,AUTO_HANDLE,"The message concerns returning an item, a refund, or a post-purchase resolution. No explicit high-risk signal was found."
@AmazonHelp What do you mean prices are ever changing? Is @115850 a stock exchange? And how can you charge more than MRP? Should I sue you?,@120171 We'd like to have a look into this. Kindly report it here: https://t.co/2t6DQoUmNZ and our team will assist further. ^AB,PAYMENT_BILLING,AUTO_HANDLE,"The message concerns payment, billing, a charge, price, or money. No explicit high-risk signal was found."
@AmazonHelp It is a doorstep pick up but I need to bear the charges for the courier while I am struggling to get a refund for the already paid order,@119902 Was a pick up arranged on your order or were you asked to self-return it? Please tell us more. ^HK,PAYMENT_BILLING,AUTO_HANDLE,"The message concerns payment, billing, a charge, price, or money. No explicit high-risk signal was found."
"@115850 @115821 @AmazonHelp I waited 15 days,sent 10 email,was assured tht case escalted,todays response WE CANNOT HELP,customer service?","@119358 We'd like to investigate this, please share your details here: https://t.co/cQVomR1pWz with detailed info. ^HA",ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp わわ、ご丁寧に返信頂き、ありがとうございます(_ _*)もしかしたらそうなのかも知れません💦引き落とし確認前に購入してしまった物があるので、取り敢えず月会費に変更してみました。次月利用予定なければキャンセルする予定です。,@120085 Amazonプライムについてわかりづらい点があり、ご不便をおかけいたしました。プライム・ビデオやPrime Readingなど色々な特典をご用意しておりますので、ご登録中にお試しいただければ幸いです。https://t.co/MWYYmYCq9S ET https://t.co/3WsXPKypKK,GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
@AmazonHelp Is the Echo Show no longer supported?,"@115834 The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN ^DW",PRODUCT_TECHNICAL,AUTO_HANDLE,"The message asks about product, app, website, or device behavior. No explicit high-risk signal was found."
@AmazonHelp Hi ...enough mails done but response is very discouraging... contact me on call,@119703 We would be unable to reach out to you from here. Kindly write back to the email sent by our team (1/2) ^VM,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
"@AmazonHelp I was on the phone for an hour; kids fire tablet not working , warranty is a lie and your agents are rude.",@117845 I'm sorry for this poor experience. We'd like to look into this. Please pass your details to us here: https://t.co/vQp02VsuI4 ^RR,SAFETY_ISSUE,ESCALATE,The message describes a potential safety incident. Potential safety incident requires human review.
@AmazonHelp Ur customer care didnt provide me a correct answer,@119535 I'm sorry about the experience. Kindly share your details here: https://t.co/beaaDm0muc and we'll check. ^GK,ACCOUNT_MEMBERSHIP,AUTO_HANDLE,"The message concerns account access, membership, or contacting support. No explicit high-risk signal was found."
@AmazonHelp Thank you so much once again for kinds of word,@116921 You're welcome Dhiraj. :),GENERAL_SUPPORT,ESCALATE,The issue is too ambiguous for safe automatic handling.
"@AmazonHelp Ordered last Friday, still not here.",@119702 What was the estimated delivery date provided in the order confirmation e-mail? ^MJ,DELIVERY_ISSUE,AUTO_HANDLE,"The message concerns delivery status, a carrier, or a missing/late package. No explicit high-risk signal was found."
